run_id,model,task,rep,doc_id,row_key,column,parse_status,present_cell,correct_cell
R002,ChatGPT,T6,rep3,D118,2567-ศษ-410,รหัสกิจกรรม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ศษ-410,ชื่อกิจกรรม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ศษ-410,หน่วยงานรับผิดชอบ,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ศษ-410,งบจัดสรร,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ศษ-410,เบิกจ่าย,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ศษ-410,จำนวนผู้เข้าร่วม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ศษ-410,กลุ่มเป้าหมาย,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ศษ-410,สถานะ,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ศษ-410,หมายเหตุ,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-พช-379,รหัสกิจกรรม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-พช-379,ชื่อกิจกรรม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-พช-379,หน่วยงานรับผิดชอบ,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-พช-379,งบจัดสรร,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-พช-379,เบิกจ่าย,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-พช-379,จำนวนผู้เข้าร่วม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-พช-379,กลุ่มเป้าหมาย,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-พช-379,สถานะ,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-พช-379,หมายเหตุ,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-กษ-677,รหัสกิจกรรม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-กษ-677,ชื่อกิจกรรม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-กษ-677,หน่วยงานรับผิดชอบ,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-กษ-677,งบจัดสรร,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-กษ-677,เบิกจ่าย,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-กษ-677,จำนวนผู้เข้าร่วม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-กษ-677,กลุ่มเป้าหมาย,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-กษ-677,สถานะ,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-กษ-677,หมายเหตุ,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ทถ-404,รหัสกิจกรรม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ทถ-404,ชื่อกิจกรรม,ok,0,0
R002,ChatGPT,T6,rep3,D118,2567-ทถ-404,หน่วยงานรับผิดชอบ,ok,0,0
